College Name,State Name,District Name
Aazad College of Education (Id: C-39230),Andhra Pradesh,Prakasam
Abhinav Institute of Management & Technology (Id: C-39450),Andhra Pradesh,Prakasam
Abhyudaya Mahila Degree College (Id: C-32630),Andhra Pradesh,Guntur
A.B.M. College (Id: C-32735),Andhra Pradesh,Prakasam
A.B.R College of Education (Id: C-39231),Andhra Pradesh,Prakasam
A.C.College (Day) (Id: C-32762),Andhra Pradesh,Guntur
A.C.College of Law (Id: C-32792),Andhra Pradesh,Guntur
A.C.Evening College (Id: C-32720),Andhra Pradesh,Guntur
Acharya N.G.Ranga College of Education (Id: C-32793),Andhra Pradesh,Guntur
Adarsa College of Education (Id: C-32801),Andhra Pradesh,Prakasam
Adarsa Degree College for Women (Id: C-32733),Andhra Pradesh,Guntur
A.G.K.M.College (Id: C-32664),Andhra Pradesh,Guntur
A.L.College of Education (Id: C-32711),Andhra Pradesh,Guntur
Ali College of Education (Id: C-39243),Andhra Pradesh,Guntur
AL Momin College of Education (Id: C-39261),Andhra Pradesh,Prakasam
Alpha College of Education (Id: C-39238),Andhra Pradesh,Prakasam
"Alpha College of Education, Kanigiri (Id: C-44489)",Andhra Pradesh,Prakasam
Alpha Degree College (Id: C-32797),Andhra Pradesh,Prakasam
Aman Showkath B.Ed College (Id: C-39227),Andhra Pradesh,Guntur
A.M.G.College of Education (Id: C-32649),Andhra Pradesh,Guntur
A.M.G.Degree College for Women (Id: C-32769),Andhra Pradesh,Guntur
A.M Reddy College of Education (Id: C-37211),Andhra Pradesh,Guntur
A.M. Reddy Memorial College of Pharmacy (Id: C-39491),Andhra Pradesh,Guntur
Amrutha College of Education (Id: C-39232),Andhra Pradesh,Prakasam
Amrutha Degree College (Id: C-44105),Andhra Pradesh,Prakasam
Andhra Kesari College of Education (Id: C-39275),Andhra Pradesh,Prakasam
Andhra Kesari Vidya Kendram Degree College (Id: C-32631),Andhra Pradesh,Prakasam
Andhra Muslim College (Id: C-32727),Andhra Pradesh,Guntur
Andhra Muslim College of Education (Id: C-36923),Andhra Pradesh,Guntur
Anitha Venkateswara College of Eduation (Id: C-39241),Andhra Pradesh,Guntur
Annabattuni Satyanarayana Degree College (Id: C-32656),Andhra Pradesh,Guntur
Anniebesant College of Education (Id: C-32740),Andhra Pradesh,Prakasam
ANU PG Campus Ongole (Id: C-32629),Andhra Pradesh,Prakasam
A.P.Residential Degree College (Id: C-32778),Andhra Pradesh,Guntur
Asha College of Education (Id: C-39244),Andhra Pradesh,Prakasam
A.S.M & A.W. D Women's Degree College (Id: C-39265),Andhra Pradesh,Guntur
"A.S.N Pharmacy College, Tenali (Id: C-39489)",Andhra Pradesh,Guntur
B.A & K.R College of Education (Id: C-39269),Andhra Pradesh,Prakasam
B.A & K.R Degree College (Id: C-32771),Andhra Pradesh,Prakasam
Balaji Degree College (Id: C-32669),Andhra Pradesh,Guntur
Bapatla College of Arts & Science (Id: C-32779),Andhra Pradesh,Guntur
Bapatla Engineering College (Id: C-42660),Andhra Pradesh,Guntur
Bapatla Womens Engineering College (Id: C-39453),Andhra Pradesh,Guntur
Bapuji College of Education (Id: C-39240),Andhra Pradesh,Guntur
B.B.H Degree College (Id: C-32756),Andhra Pradesh,Prakasam
"B.G Degree College, Sattenapalli (Id: C-40608)",Andhra Pradesh,Guntur
Bharathi Degree College (Id: C-32667),Andhra Pradesh,Prakasam
Bhashyam College of Education (Id: C-39234),Andhra Pradesh,Guntur
B.H.H Degree College for Women (Id: C-32803),Andhra Pradesh,Guntur
"B.M.Degree College, P.Dornala (Id: C-39300)",Andhra Pradesh,Prakasam
BMRM Jhansi B.Ed College (Id: C-39237),Andhra Pradesh,Prakasam
B.R College of Education (Id: C-37221),Andhra Pradesh,Guntur
B.S.S.B College (Id: C-32652),Andhra Pradesh,Guntur
B.V.S.P.M Degree College (Id: C-32663),Andhra Pradesh,Prakasam
Career Degree College (Id: C-32782),Andhra Pradesh,Guntur
"Chaitanya Bharathi Degree College, Chirala (Id: C-42659)",Andhra Pradesh,Prakasam
Chaitanya College of Education (Id: C-32763),Andhra Pradesh,Prakasam
"Chakradhar Degree College, Macherla (Id: C-39308)",Andhra Pradesh,Guntur
"Chalapathi Degree College, Lam (Id: C-42706)",Andhra Pradesh,Guntur
"Chalapathi Institute of Engineering & Technology, Lam (Id: C-39475)",Andhra Pradesh,Guntur
"Chalapathi Institute of Pharmaceutical Sciences, Lam (Id: C-39486)",Andhra Pradesh,Guntur
Chebrolu Hanumaiah College of Pharmaceutical Sciences (Id: C-39452),Andhra Pradesh,Guntur
Chegireddy Linga Reddy Instt of Management (Id: C-39466),Andhra Pradesh,Prakasam
"Chirala College of PG Studies, Chirala (Id: C-39457)",Andhra Pradesh,Guntur
Chiristian Women's College (Id: C-32703),Andhra Pradesh,Guntur
Christu Jayanthi Jubilee College (P.G.) (Id: C-32819),Andhra Pradesh,Guntur
C.I.L.For Rural Management (Id: C-42663),Andhra Pradesh,Guntur
C.R. College (Id: C-32796),Andhra Pradesh,Guntur
C.S.R. Sarma College (Id: C-32702),Andhra Pradesh,Prakasam
D.C.R.M Degree College (Id: C-32662),Andhra Pradesh,Prakasam
"D.C.R.M P.G College, MBA (Id: C-32655)",Andhra Pradesh,Prakasam
Devathi Venkata Subbaiah Degree College (Id: C-32710),Andhra Pradesh,Prakasam
Devathi Venkata Subbiah College of Education (Id: C-37223),Andhra Pradesh,Prakasam
